# id,x,y
1001,1596.81,1156.36
1002,1773.53,1159.8
1003,1435.24,1127.66
1004,1295.17,1066.37
1005,1258.66,957.726
1006,2349.93,1140.35
1007,2378.27,1350.74
1008,2436.04,1499.89
1009,2519.22,1642.75
1010,2584.31,1805.1
1011,2622.02,1943.45
1012,2640.36,2134.42
1013,2633.33,2289.8
1014,2598.33,2450.41
1015,2551.36,2597.28
1016,2485.69,2810.78
1017,2462.45,3180.51
1018,2560.42,3429.17
1019,2612.39,3421.9
1020,2755.83,3713.41
1021,2824.69,3802.01
1022,3035.83,3767.92
1023,3208.71,3738.04
1024,3510.83,3687.08
1025,3579.17,4007.92
1026,3620.37,4180.23
1027,3513.64,4205.97
1028,3345.66,4327.08
1029,3139.54,4412.11
1030,3015.42,4477.92
1031,2674.58,4473.75
1032,2693.75,4148.75
1033,3082.41,4049.03
1034,3109.03,4096.53
1035,3279.58,4064.58
1036,2432.77,3011.73
1037,2436.12,3084.66
1038,3439.49,4256.92
1039,3231.79,4377.95
1,1243.28,835.249
2,2850.34,778.163
3,3905.66,1642.17
4,4775.37,3181.54
5,1333.26,5858.06
6,2360.09,3611.83
7,1987.15,6030.73
8,850.441,3721.94
9,1980,1141.49
11,3851.52,3232.74
12,4112.87,3811.19
13,4153.17,4274.69
14,1517.14,4471.93
15,3129.93,4897.59
16,2163.58,5283.54
17,2638.47,4886.67
18,2637.34,4804.11
19,3318.15,3600.89
20,3090.3,3638.65
21,3698.29,3732.97
24,3970.7,4383.06
26,3601.05,3580.66
27,3068.45,3510.09
28,3361.67,3988.48
29,1603.55,4963.54
30,2232.58,5520.07
31,2019.93,5034.11
32,2230.11,5169.61
33,2615.62,4999.27
34,2490.09,4999.46
35,2229.17,5005.3
36,2558.7,4716.33
37,1552.89,5201.97
38,1274.7,5136.37
39,2215.14,4719.92
40,2222.77,4857.11
41,2354.19,4426.01
42,1926.77,4694.34
44,2239.97,3453.41
45,1671.85,3238.7
46,2202.95,677.622
47,2093.11,4148.92
48,4272.18,3210.15
49,4195.15,2805.31
51,2627.38,4134.96
53,4063.05,3222.37
